participant_id,start_time,completion_time,stimulus,query_c1,c1_contribution,query_c2,c2_contribution,query_comp,comp
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,公路网,“公路”对这个词的语义贡献了多少？,4,“网”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,课程标准,“课程”对这个词的语义贡献了多少？,4,“标准”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,岛国,”岛”对这个词的语义贡献了多少？,4,“国”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,中心主义,“中心”对这个词的语义贡献了多少？,3,“主义”对这个词的整体语义贡献了多少？,2,这个词的意思能从它的组成成分的语义上推测出来吗？,3
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,墓地,“墓”对这个词的语义贡献了多少？,4,“地”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,沟渠,“沟”对这个词的语义贡献了多少？,4,“渠”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,血泪,“血”对这个词的语义贡献了多少？,3,“泪”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,物质基础,“物质”对这个词的语义贡献了多少？,4,“基础”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,3
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,酒家,“酒”对这个词的语义贡献了多少？,3,“家”对这个词的整体语义贡献了多少？,2,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,烟头,“ 烟”对这个词的语义贡献了多少？,4,“ 头”对这个词的整体语义贡献了多少？,2,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,宗教事务,“宗教”对这个词的语义贡献了多少？,4,“事务”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,词牌,“词”对这个词的语义贡献了多少？,4,“牌”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,人民代表,“人民”对这个词的语义贡献了多少？,3,“代表”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,3
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,经济社会,“经济”对这个词的语义贡献了多少？,3,“社会”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,3
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,人民警察,“人民”对这个词的语义贡献了多少？,4,“警察”对这个词的整体语义贡献了多少？,5,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,诗词,“诗”对这个词的语义贡献了多少？,4,“词”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,石油市场,“石油”对这个词的语义贡献了多少？,4,“市场”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,泪水,“ 泪”对这个词的语义贡献了多少？,5,“水”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,工艺技术,“工艺”对这个词的语义贡献了多少？,3,“技术”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,化肥厂,“化肥”对这个词的语义贡献了多少？,4,“厂”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,本地人,“本地”对这个词的语义贡献了多少？,3,“人”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,船桨,“船”对这个词的语义贡献了多少？,4,“桨”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,氧气,“氧”对这个词的语义贡献了多少？,5,“气”对这个词的整体语义贡献了多少？,3,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,尿酸,“尿”对这个词的语义贡献了多少？,2,“酸”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,4
anonymized_4811,2024-09-07 10:58:14,2024-09-07 11:02:14,琴声,“琴”对这个词的语义贡献了多少？,4,“声”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,5
anonymized_7912,2024-09-07 13:59:14,2024-09-07 14:02:11,公路网,“公路”对这个词的语义贡献了多少？,4,“网”对这个词的整体语义贡献了多少？,4,这个词的意思能从它的组成成分的语义上推测出来吗？,4
