"participant_id","age","gender","trial_id","trial_order","stimulus","target_word","response"
"P1",22,"Female",1,0,"The cloud was a LONELY OVAL in the clear blue sky.","lonely_oval",3
"P1",22,"Female",2,1,"The UNKEMPT AFTERNOON resulted in a horrible evening.","unkempt_afternoon",-1
"P1",22,"Female",3,2,"George is Pat's MEAT PUPPET, he does whatever she says.","meat_puppet",-2
"P1",22,"Female",4,3,"John is treading on THIN ICE after all the money he borrowed.","thin_ice",3
"P1",22,"Female",5,4,"The department imposed a FIRM DEADLINE for the submission of forms.","firm_deadline",3
"P1",22,"Female",6,5,"The previous negotiations did not work, so they will start with a CLEAN SLATE.","clean_slate",-1
"P1",22,"Female",7,6,"During the pandemic, Montreal became a GHOST TOWN.","ghost_town",-3
"P1",22,"Female",8,7,"After researchers learned the new software, everything was SMOOTH SAILING.","smooth_sailing",0
"P1",22,"Female",9,8,"If it were not for that ROAD HOG, he would have gotten to work on time.","road_hog",2
"P1",22,"Female",10,9,"He had a BURNING AMBITION to climb to the upper reaches of management.","burning_ambition",-2
"P1",22,"Female",11,10,"Most of the audience left halfway through the movie because it was such a DEAD ACT.","dead_act",0
"P1",22,"Female",12,11,"The PADDLE BRUSH is known to work wonders on thicker, longer hair.","paddle_brush",1
"P1",22,"Female",13,12,"After drinking too much, the boy passed into a BLANK SLEEP.","blank_sleep",-2
"P1",22,"Female",14,13,"Bonnie gets COLD FEET when contemplating her future with Adam.","cold_feet",0
"P1",22,"Female",15,14,"Her GREY FACE suggested that something bad had happened.","grey_face",-3
"P1",22,"Female",16,15,"It was the only good moment in his otherwise DARK LIFE.","dark_life",-3
"P1",22,"Female",17,16,"The motivational speaker gave his audience another GOLD NUGGET in his recently uploaded video.","gold_nugget",0
"P1",22,"Female",18,17,"All of a sudden, he became the big SUGAR DADDY for anybody who needed their rent paid.","sugar_daddy",0
"P1",22,"Female",19,18,"He's a bit of a handful, a real BAD EGG.","bad_egg",-2
"P1",22,"Female",20,19,"McDonald's is the most famous RESTAURANT CHAIN in the world.","restaurant_chain",2
"P1",22,"Female",21,20,"She had a SHARP MIND and was knowledgeable on a broad range of topics.","sharp_mind",-2
"P1",22,"Female",22,21,"She was left with a BROKEN HEART after the split with her partner.","broken_heart",-2
"P1",22,"Female",23,22,"The cast on his broken leg was a PLASTER SHACKLE.","plaster_shackle",0
"P1",22,"Female",24,23,"Emily later realized it was the BEER GOGGLES that made the man seem attractive at the bar.","beer_goggles",-2
"P1",22,"Female",25,24,"Her long hair was a flowing GOLDEN RIVER.","golden_river",-3
"P1",22,"Female",26,25,"Not wanting to be a SITTING DUCK for the storm, he left the worn down farmhouse.","sitting_duck",0
"P1",22,"Female",27,26,"Supervisors need to have a FIRM HAND with their volunteers.","firm_hand",0
"P1",22,"Female",28,27,"ELEPHANT EARS are a great choice to make any garden look like a tropical forest.","elephant_ears",-3
"P1",22,"Female",29,28,"There was DEAD SILENCE in the waiting room.","dead_silence",-3
"P1",22,"Female",30,29,"Having odd hobbies means you'll be picked on as a RARE BIRD by school bullies.","rare_bird",0
"P1",22,"Female",31,30,"He transmitted FRESH COURAGE and hope to the oppressed.","fresh_courage",-3
"P1",22,"Female",32,31,"Finding an HIV vaccine is the HOLY GRAIL of medical research.","holy_grail",0
"P1",22,"Female",33,32,"Everyone in the room wondered who invited the PARTY POOPER.","party_pooper",3
"P1",22,"Female",34,33,"HELICOPTER PARENTS never stop obsessing over their kids.","helicopter_parent",-3
"P1",22,"Female",35,34,"The poor performance of one BAD APPLE can have serious consequences.","bad_apple",-3
"P1",22,"Female",36,35,"The couple had to pay $20 for a VIRGIN DRINK at the bar.","virgin_drink",-3
"P1",22,"Female",37,36,"Influencers can get into every HOT SPOT in town.","hot_spot",0
"P1",22,"Female",38,37,"Ever since Itamar received the devastating news, his life has been an EMOTIONAL ROLLERCOASTER.","emotional_rollercoaster",-3
"P1",22,"Female",39,38,"He had a DEAD FACE look after being asked the same question for the 5th time.","dead_face",-3
"P1",22,"Female",40,39,"The new year sees a HAPPY DAWN and a fresh start.","happy_dawn",2
"P1",22,"Female",41,40,"Her SOCIAL BUBBLE consisted mostly of childless couples with little responsibilities.","social_bubble",0
"P1",22,"Female",42,41,"Although he was guaranteed a promotion, Paul kept it LOW KEY.","low_key",0
"P1",22,"Female",43,42,"When someone has a WEAK ARGUMENT, they resort to personal attacks.","weak_argument",0
"P1",22,"Female",44,43,"Most candidates have a CLEAR INTENTION of what they want to accomplish.","clear_intention",-3
"P1",22,"Female",45,44,"In any company, a GLASS CEILING is broken when a woman can advance to a higher position.","glass_ceiling",0
"P1",22,"Female",46,45,"The new member of parliament is a RISING STAR in politics.","rising_star",-3
"P1",22,"Female",47,46,"She later landed a PLUM JOB at the prestigious Library of Congress.","plum_job",-2
