trial_id,condition,stimulus,sentence_extraction,comprehension_probe,probe_clause,response,accuracy,rt,participant_id,handedness,gender,first_language,age,country_of_residence
1,congruent,"['The', 'man', 'that the', 'nurse', 'phoned', 'left', 'his', 'pills', 'at', 'the', 'office']",object,The nurse left the pills?,main_clause,n,1,1.2531318680003096,001,right,female,english,26,Australia
2,other,"['The', 'wine', 'that was', 'fancy', 'was', 'kept', 'in the', 'cellar', 'for', 'nearly', 'ten', 'years', 'and five', 'months']",assorted,The wine was fancy?,other,y,1,2.6927643500002887,001,right,female,english,26,Australia
3,incongruent,"['The', 'crook', 'that the', 'thief', 'warned', 'fled', 'the', 'town', 'the', 'next', 'morning']",object,The thief fled the town?,main_clause,y,0,3.579832213000373,001,right,female,english,26,Australia
4,incongruent,"['The', 'friend', 'that the', 'bride', 'teased', 'told', 'a', 'joke', 'about', 'the', 'past']",object,The friend teased the bride?,relative_clause,n,1,11.350573824000094,001,right,female,english,26,Australia
5,incongruent,"['The', 'niece', 'that', 'kissed', 'the', 'aunt', 'sang a', 'song', 'for the', 'guests']",subject,The aunt kissed the niece?,relative_clause,y,0,1.5215043919997695,001,right,female,english,26,Australia
6,incongruent,"['The', 'priest', 'that the', 'cook', 'paid', 'signed', 'the', 'check', 'at', 'the', 'bank']",object,The cook paid the priest?,relative_clause,n,0,2.891191926999454,001,right,female,english,26,Australia
7,incongruent,"['The', 'maid', 'that', 'loved', 'the', 'chef', 'quit the', 'job', 'at the', 'house']",subject,The chef loved the maid?,relative_clause,n,1,2.743609536000804,001,right,female,english,26,Australia
8,incongruent,"['The', 'prince', 'that', 'helped', 'the', 'girl', 'had a', 'head', 'of blonde', 'hair']",subject,The prince had blonde hair?,main_clause,y,1,1.7739194969999517,001,right,female,english,26,Australia
9,congruent,"['The', 'dad', 'that', 'knew', 'the', 'chef', 'had a', 'son', 'with a', 'limp']",subject,The dad had a son with a limp?,main_clause,y,1,1.8584467780001432,001,right,female,english,26,Australia
10,other,"['The', 'cup', 'was', 'made', 'from green', 'plastic', 'and was', 'filled', 'with', 'juice']",assorted,The cup was made from plastic?,other,y,1,1.4409162850006396,001,right,female,english,26,Australia
11,other,"['The', 'girl', 'and the', 'boy', 'that', 'owned', 'the', 'horse', 'had', 'mud', 'on their', 'clothes']",assorted,The boy and girl own a horse?,other,y,1,1.3237389290006831,001,right,female,english,26,Australia
12,congruent,"['The', 'nun', 'that', 'blessed', 'the', 'monk', 'lit a', 'candle', 'on the', 'table']",subject,The monk lit a candle?,main_clause,n,1,1.8568885610002328,001,right,female,english,26,Australia
13,incongruent,"['The', 'kid', 'that', 'followed', 'the', 'dad', 'had some', 'mud', 'on his', 'shoes']",subject,The kid followed the dad?,relative_clause,y,1,0.9724424899995938,001,right,female,english,26,Australia
14,other,"['The', 'man', 'was very', 'hungry', 'after the', 'meeting', 'so', 'had', 'lunch', 'early']",assorted,The man was hungry?,other,y,1,1.390738665999379,001,right,female,english,26,Australia
