stimulus,constituent_1,constituent_2,list_id
事物本质,,本质,0
亚洲纪录,亚洲,纪录,0
历史纪录,历史,纪录,0
孩提时代,孩提,时代,0
师范大学,师范,大学,0
气闸,气,闸,0
电闸,电,闸,0
界线,界,线,0
船闸,船,闸,0
茶会,茶,会,0
评剧团,评剧,团,0
金融资产,金融,资产,0
铁闸,铁,闸,0
食管癌,食管,癌,0
专利技术,专利,技术,1
人心,人,心,1
保险行业,保险,行业,1
内阁会议,内阁,会议,1
功夫茶,功夫,茶,1
商品价格,商品,价格,1
图章,图,章,1
土壤湿度,土壤,湿度,1
声色,声,色,1
学术会议,学术,会议,1
小学校长,小学,校长,1
手工,手,工,1
手艺人,手艺,人,1
技术理性,技术,理性,1
歌魂,歌,魂,1
水膜,水,膜,1
灯泡,灯,泡,1
灾情,灾,情,1
生活空间,生活,空间,1
皮艇,皮,艇,1
科技知识,科技,知识,1
财政部门,财政,部门,1
铁牌,铁,牌,1
雨量,雨,量,1
风灾,风,灾,1
中文名称,中文,名称,2
书本,书,本,2
书桌,书,桌,2
人才资源,人才,资源,2
卡车司机,卡车,司机,2
品牌效应,品牌,效应,2
商品目录,商品,目录,2
基层工作,基层,工作,2
战略要地,战略,要地,2
民生问题,民生,问题,2
油菜,油,菜,2
漫画书,漫画,书,2
电报,电,报,2
矿产资源,矿产,资源,2
粉刺,粉,刺,2
细菌武器,细菌,武器,2
经济特区,经济,特区,2
网络书店,网络,书店,2
美国股市,美国,股市,2
职工福利,职工,福利,2
股权结构,股权,结构,2
贸易市场,贸易,市场,2
酒会,酒,会,2
金融部门,金融,部门,2
面包店,面包,店,2
专题讲座,专题,讲座,3
事业心,事业,心,3
党心,党,心,3
党派,党,派,3
后代,后,代,3
哲学理论,哲学,理论,3
地理位置,地理,位置,3
太极图,太极,图,3
工业用地,工业,用地,3
工作作风,工作,作风,3
幕后,幕,后,3
店铺,店,铺,3
情报人员,情报,人员,3
教学情况,教学,情况,3
教学服务,教学,服务,3
时代精神,时代,精神,3
木工机械,木工,机械,3
水库,水,库,3
粮票,粮,票,3
